Designator,Val,Val2,"Mid X","Mid Y",Rotation,Layer,
"R16","6.8k","R_0805_2012Metric",93.789000,-70.034000,180.000000,top
"R17","10k","R_0805_2012Metric",84.425000,-64.275000,0.000000,top
"R18","10k","R_0805_2012Metric",42.889000,-72.706000,180.000000,top
"R19","10k","R_0805_2012Metric",46.191000,-66.864000,90.000000,top
"R20","10k","R_0805_2012Metric",47.575000,-72.140000,180.000000,top
"R21","680k","R_0805_2012Metric",84.150000,-70.900000,180.000000,top
"R22","150k","R_0805_2012Metric",84.212500,-74.150000,0.000000,top
"R23","33","R_0603_1608Metric",56.959000,-40.824000,180.000000,top
"R24","1k","R_0805_2012Metric",38.135000,-67.170000,180.000000,top
"R25","1k","R_0805_2012Metric",52.450000,-50.875000,180.000000,top
"R26","100k","R_0805_2012Metric",52.895000,-47.682000,0.000000,top
"R27","10k","R_0805_2012Metric",43.350000,-84.100000,180.000000,top
"RV1","200k","JLC_RES-ADJ-SMD_VG039NCH",76.700000,-47.400000,270.000000,top
"SW1","SW_DIP_x01","JLC_SW-SMD_MK-12C02-G025",60.450033,-25.688438,180.000000,top
"U1","LT1945","MSOP-10_3x3mm_P0.5mm",32.805000,-64.570000,180.000000,top
"U2","LT1945","MSOP-10_3x3mm_P0.5mm",35.400000,-44.300000,90.000000,top
"U3","XC6206PxxxMR","SOT-23",63.309000,-37.522000,90.000000,top
"U4","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",69.913000,-40.824000,90.000000,top
"U5","74HC4094-normal","SOIC-16_3.9x9.9mm_P1.27mm",43.800000,-48.400000,270.000000,top
"U6","LM358","SOP-8_3.76x4.96mm_P1.27mm",78.825000,-39.600000,270.000000,top
"U7","CONN-Battery","JLC_CONN-SMD_A1254WR-S-2P",106.426000,-81.534000,90.000000,top
"U8","TP4056","TP4056_SOP-8-PP",98.325000,-65.625000,270.000000,top
"U9","MCP1700-3302E_SOT23","SOT-23",52.225000,-70.800000,180.000000,top
"U10","ESP32-WROVER","ESP32-WROVER",68.525000,-65.855000,180.000000,top
"U11","PCF8563T","SOIC-8_3.9x4.9mm_P1.27mm",105.918000,-59.436000,90.000000,top
"U12","MCP9700AT-ETT","SOT-23",50.093000,-81.554000,270.000000,top
"U13","ED060XC5","X05A20H34G",93.500000,-44.300000,90.000000,top
"U14","FPC-TOUCH","JLC_FFC-SMD_6P-P0.50_FH34SRJ-6S-0.5SH",48.000000,-58.200000,270.000000,top
"Y1","Crystal","JLC_CRYSTAL-SMD_L7.0-W3.2-LS7.5",97.028000,-59.182000,180.000000,top
